school,overallScore,city.name
ironhack,4.7,Lisbon
ironhack,4.7,not applicable
ironhack,4.7,Berlin
ironhack,4.7,Mexico City
ironhack,4.7,Amsterdam
ironhack,4.7,Sao Paulo
ironhack,4.7,Paris
ironhack,4.7,Miami
ironhack,4.7,Madrid
ironhack,4.7,Barcelona
ironhack,4.7,Lisbon
ironhack,4.7,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,1.0,Berlin
ironhack,1.0,Mexico City
ironhack,1.0,Amsterdam
ironhack,1.0,Sao Paulo
ironhack,1.0,Paris
ironhack,1.0,Miami
ironhack,1.0,Madrid
ironhack,1.0,Barcelona
ironhack,1.0,Lisbon
ironhack,1.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,1.3,Berlin
ironhack,1.3,Mexico City
ironhack,1.3,Amsterdam
ironhack,1.3,Sao Paulo
ironhack,1.3,Paris
ironhack,1.3,Miami
ironhack,1.3,Madrid
ironhack,1.3,Barcelona
ironhack,1.3,Lisbon
ironhack,1.3,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.0,Berlin
ironhack,4.0,Mexico City
ironhack,4.0,Amsterdam
ironhack,4.0,Sao Paulo
ironhack,4.0,Paris
ironhack,4.0,Miami
ironhack,4.0,Madrid
ironhack,4.0,Barcelona
ironhack,4.0,Lisbon
ironhack,4.0,not applicable
ironhack,4.3,Berlin
ironhack,4.3,Mexico City
ironhack,4.3,Amsterdam
ironhack,4.3,Sao Paulo
ironhack,4.3,Paris
ironhack,4.3,Miami
ironhack,4.3,Madrid
ironhack,4.3,Barcelona
ironhack,4.3,Lisbon
ironhack,4.3,not applicable
ironhack,4.3,Berlin
ironhack,4.3,Mexico City
ironhack,4.3,Amsterdam
ironhack,4.3,Sao Paulo
ironhack,4.3,Paris
ironhack,4.3,Miami
ironhack,4.3,Madrid
ironhack,4.3,Barcelona
ironhack,4.3,Lisbon
ironhack,4.3,not applicable
ironhack,2.0,Berlin
ironhack,2.0,Mexico City
ironhack,2.0,Amsterdam
ironhack,2.0,Sao Paulo
ironhack,2.0,Paris
ironhack,2.0,Miami
ironhack,2.0,Madrid
ironhack,2.0,Barcelona
ironhack,2.0,Lisbon
ironhack,2.0,not applicable
ironhack,4.7,Berlin
ironhack,4.7,Mexico City
ironhack,4.7,Amsterdam
ironhack,4.7,Sao Paulo
ironhack,4.7,Paris
ironhack,4.7,Miami
ironhack,4.7,Madrid
ironhack,4.7,Barcelona
ironhack,4.7,Lisbon
ironhack,4.7,not applicable
ironhack,4.0,Berlin
ironhack,4.0,Mexico City
ironhack,4.0,Amsterdam
ironhack,4.0,Sao Paulo
ironhack,4.0,Paris
ironhack,4.0,Miami
ironhack,4.0,Madrid
ironhack,4.0,Barcelona
ironhack,4.0,Lisbon
ironhack,4.0,not applicable
ironhack,4.0,Berlin
ironhack,4.0,Mexico City
ironhack,4.0,Amsterdam
ironhack,4.0,Sao Paulo
ironhack,4.0,Paris
ironhack,4.0,Miami
ironhack,4.0,Madrid
ironhack,4.0,Barcelona
ironhack,4.0,Lisbon
ironhack,4.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,1.7,Berlin
ironhack,1.7,Mexico City
ironhack,1.7,Amsterdam
ironhack,1.7,Sao Paulo
ironhack,1.7,Paris
ironhack,1.7,Miami
ironhack,1.7,Madrid
ironhack,1.7,Barcelona
ironhack,1.7,Lisbon
ironhack,1.7,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.3,Berlin
ironhack,4.3,Mexico City
ironhack,4.3,Amsterdam
ironhack,4.3,Sao Paulo
ironhack,4.3,Paris
ironhack,4.3,Miami
ironhack,4.3,Madrid
ironhack,4.3,Barcelona
ironhack,4.3,Lisbon
ironhack,4.3,not applicable
ironhack,3.7,Berlin
ironhack,3.7,Mexico City
ironhack,3.7,Amsterdam
ironhack,3.7,Sao Paulo
ironhack,3.7,Paris
ironhack,3.7,Miami
ironhack,3.7,Madrid
ironhack,3.7,Barcelona
ironhack,3.7,Lisbon
ironhack,3.7,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.3,Berlin
ironhack,4.3,Mexico City
ironhack,4.3,Amsterdam
ironhack,4.3,Sao Paulo
ironhack,4.3,Paris
ironhack,4.3,Miami
ironhack,4.3,Madrid
ironhack,4.3,Barcelona
ironhack,4.3,Lisbon
ironhack,4.3,not applicable
ironhack,1.7,Berlin
ironhack,1.7,Mexico City
ironhack,1.7,Amsterdam
ironhack,1.7,Sao Paulo
ironhack,1.7,Paris
ironhack,1.7,Miami
ironhack,1.7,Madrid
ironhack,1.7,Barcelona
ironhack,1.7,Lisbon
ironhack,1.7,not applicable
ironhack,4.0,Berlin
ironhack,4.0,Mexico City
ironhack,4.0,Amsterdam
ironhack,4.0,Sao Paulo
ironhack,4.0,Paris
ironhack,4.0,Miami
ironhack,4.0,Madrid
ironhack,4.0,Barcelona
ironhack,4.0,Lisbon
ironhack,4.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.7,Berlin
ironhack,4.7,Mexico City
ironhack,4.7,Amsterdam
ironhack,4.7,Sao Paulo
ironhack,4.7,Paris
ironhack,4.7,Miami
ironhack,4.7,Madrid
ironhack,4.7,Barcelona
ironhack,4.7,Lisbon
ironhack,4.7,not applicable
ironhack,4.0,Berlin
ironhack,4.0,Mexico City
ironhack,4.0,Amsterdam
ironhack,4.0,Sao Paulo
ironhack,4.0,Paris
ironhack,4.0,Miami
ironhack,4.0,Madrid
ironhack,4.0,Barcelona
ironhack,4.0,Lisbon
ironhack,4.0,not applicable
ironhack,3.7,Berlin
ironhack,3.7,Mexico City
ironhack,3.7,Amsterdam
ironhack,3.7,Sao Paulo
ironhack,3.7,Paris
ironhack,3.7,Miami
ironhack,3.7,Madrid
ironhack,3.7,Barcelona
ironhack,3.7,Lisbon
ironhack,3.7,not applicable
ironhack,4.0,Berlin
ironhack,4.0,Mexico City
ironhack,4.0,Amsterdam
ironhack,4.0,Sao Paulo
ironhack,4.0,Paris
ironhack,4.0,Miami
ironhack,4.0,Madrid
ironhack,4.0,Barcelona
ironhack,4.0,Lisbon
ironhack,4.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,3.3,Berlin
ironhack,3.3,Mexico City
ironhack,3.3,Amsterdam
ironhack,3.3,Sao Paulo
ironhack,3.3,Paris
ironhack,3.3,Miami
ironhack,3.3,Madrid
ironhack,3.3,Barcelona
ironhack,3.3,Lisbon
ironhack,3.3,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.0,Berlin
ironhack,4.0,Mexico City
ironhack,4.0,Amsterdam
ironhack,4.0,Sao Paulo
ironhack,4.0,Paris
ironhack,4.0,Miami
ironhack,4.0,Madrid
ironhack,4.0,Barcelona
ironhack,4.0,Lisbon
ironhack,4.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.3,Berlin
ironhack,4.3,Mexico City
ironhack,4.3,Amsterdam
ironhack,4.3,Sao Paulo
ironhack,4.3,Paris
ironhack,4.3,Miami
ironhack,4.3,Madrid
ironhack,4.3,Barcelona
ironhack,4.3,Lisbon
ironhack,4.3,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
ironhack,5.0,Lisbon
ironhack,5.0,not applicable
ironhack,4.7,Berlin
ironhack,4.7,Mexico City
ironhack,4.7,Amsterdam
ironhack,4.7,Sao Paulo
ironhack,4.7,Paris
ironhack,4.7,Miami
ironhack,4.7,Madrid
ironhack,4.7,Barcelona
ironhack,4.7,Lisbon
ironhack,4.7,not applicable
ironhack,4.7,Berlin
ironhack,4.7,Mexico City
ironhack,4.7,Amsterdam
ironhack,4.7,Sao Paulo
ironhack,4.7,Paris
ironhack,4.7,Miami
ironhack,4.7,Madrid
ironhack,4.7,Barcelona
ironhack,4.7,Lisbon
ironhack,4.7,not applicable
ironhack,5.0,Berlin
ironhack,5.0,Mexico City
ironhack,5.0,Amsterdam
ironhack,5.0,Sao Paulo
ironhack,5.0,Paris
ironhack,5.0,Miami
ironhack,5.0,Madrid
ironhack,5.0,Barcelona
